portuguese,english
tom has decided to major in music,tom decidiu especializarse em musica
continue working,continue trabalhando
ill kill him,eu vou matalo
they were afraid of the big dog,eles estavam com medo do cachorro grande
we all just want to be loved,todos nos queremos e ser amados
i wasnt in boston last week,eu nao estava em boston na ultima semana
i cant find my shoes,nao consigo encontrar meus sapatos
can you help me wash the dishes,voce pode me ajudar a lavar a louca
tom is very creative isnt he,tom e muito criativo nao e
he is the same age as me,ele tem a mesma idade que eu
you must be able to speak either english or spanish in this company,voce deve ser capaz de falar em ingles ou espanhol nessa empresa
pretty isnt it,bonito nao e
tom is extremely intelligent,o tom e extremamente inteligente
tom is a very lazy boy,tom e um garoto muito preguicoso
we cant help tom anymore,nos nao podemos mais ajudar o tom
is that true tom,isso e verdade tom
do you have a match,voce tem um fosforo
tom knows marys in love with john,tom sabe que mary esta apaixonada por john
i know a great italian restaurant on park street,conheco um otimo restaurante italiano na park street
i wonder what tom is thinking about,me pergunto sobre o que o tom esta pensando
when were you planning on telling me,quando voce estava planejando me contar
he promised me he would come early,ele me prometeu que viria cedo
what a smart guy,que cara esperto
tom is in custody,tom esta sob custodia
there are many tourists in town,ha muitos turistas na cidade
what would i do without tom,o que eu faria sem tom
he got used to working two hours every day in the garden,ele se acostumou a trabalhar duas horas todos os dias no jardim
go up the street,suba a rua
theyre playing cards,elas estao jogando cartas
will you wait for me,voce vai me esperar
whats the minimum wage,qual o salario minimo
one day this caterpillar will turn into a beautiful butterfly,um dia esta lagarta se transformara numa linda borboleta
have you read this book,voce leu este livro
there are people who dont like to go to sleep early,ha pessoas que nao gostam de ir dormir cedo
i cant get that song out of my mind,nao consigo tirar aquela musica da minha cabeca
does tom know that youre here,o tom sabe que voce esta aqui
i can read spanish easily,posso ler espanhol facilmente
i need printer paper,eu preciso de papel para a impressora
its a very urgent matter,e um assunto muito urgente
i didnt eat much,eu nao comi muito
no one believed him,ninguem acreditou nele
tom told me he had a few things to take care of,tom me disse que tinha algumas coisas para resolver
tom is very mad at mary,tom esta muito bravo com maria
have you talked to tom about this,ja abordou este assunto com o tom
my telephone doesnt work,meu telefone nao esta funcionando
im here to win,eu estou aqui para ganhar
if i were you i would pay more attention to the teachers advice,se eu fosse voce prestaria mais atencao aos conselhos do professor
tom plans to stay for three weeks,tom planeja ficar tres semanas
tom was very worried,tom estava muito preocupado
who gave tom a glass of wine,quem deu uma taca de vinho para o tom
tom forgot to pay his rent,tom se esqueceu de pagar o aluguel
what little money i had was stolen,o pouco dinheiro que eu tinha foi roubado
no matter what happens i am prepared,estou preparado para o que quer que seja
where did you park the car,onde voce estacionou o carro
i swear it wasnt my fault,eu juro que nao foi minha culpa
look i know what i saw,veja eu sei o que vi
she shaved her armpits,ela depilou as axilas
maybe this was a mistake,isso talvez tenha sido um erro
scientists regard the discovery as important,cientistas consideram a descoberta importante
my cat will love this,meu gato vai amar isso
im making a list,estou fazendo uma lista
its so big,isso e tao grande
i know he is watching me,eu sei que ele esta me vigiando
didnt you make any mistakes,voces nao cometeram nenhum erro
our team lost,nosso time perdeu
i met him when i was a student,conhecio quando era estudante
i told tom it was urgent,eu disse a tom que era urgente
dont you tell me what to say,nao me diga o que dizer
im very happy to be here,estou muito feliz por estar aqui
i bought a new notebook and a couple of pencils,comprei um caderno novo e alguns lapis
ive decided to go by train,eu decidi ir de trem
we cant open this yet,ainda nao podemos abrir isto
i couldnt breathe,eu nao conseguia respirar
i just did it,acabo de fazelo
do you like cities,voce gosta de cidade
ive never tried,nunca tentei
what are you hiding,o que voce esta encondendo
its a pretty simple concept,e um conceito bastante simples
it seemed that tom was hiding something,parecia que o tom estava escondendo alguma coisa
would you like to see my tattoo,quer ver a minha tatuagem
who wrote these two letters,quem escreveu estas duas cartas
he arrived here last night,ele chegou aqui ontem a noite
tom scored a goal,tom fez um gol
he used to eat out every day but now he cant afford it,ele costumava comer fora todo dia mas agora nao tem maos condicoes mais bancar
tom eats fish at least once a week,o tom come peixe pelo menos uma vez na semana
this isnt my problem,isso nao e problema meu
were different,somos diferentes
this can be found in any dictionary,isto pode ser encontrado em qualquer dicionario
i dont want you,nao quero voce
my mother was busy cooking dinner,minha mae estava ocupada preparando o jantar
tom told me he was afraid,tom me disse que estava com medo
tom said that he wasnt rich,o tom disse que ele nao era rico
tom couldnt decide what book to read,tom nao conseguia decidir que livro ler
he does not know how to drive a car,ele nao sabe dirigir
tom doesnt need to buy anything,tom nao precisa comprar nada
youre extraordinary,voce e extraordinario
can you bring my trunk down from upstairs,voce pode trazer meu malao la de cima
i live on the same floor as tom does,eu moro no mesmo andar que tom
do you have that bottle,voce tem essa garrafa
why was tom crying,por que tom estava chorando
losing my daughter has taken away my will to live,perder minha filha me tirou a vontade de viver
i hope you can forgive us,espero que possa nos perdoar
the church is between my house and yours,a igreja fica entre a minha casa e a sua
please wait,por favor espere
the pain is agonizing,a dor e angustiante
i think youll find everything you asked for,acho que encontrara tudo o que voce pedir
did tom ask you out again,tom convidou voce para sair de novo
you know i can do that,voce sabe que eu posso fazer isso
who would you vote for,em quem voce votaria
you dont know what i know,tu nao sabes o que eu sei
am i included,eu estou incluido
may i introduce my friend to you,posso te apresentar meu amigo
you should do it this way,voce deveria fazer desse jeito
you have certain privileges and therefore corresponding responsibilities,voce tem certos privilegios e portanto responsabilidades correspondentes
tom does some funny things every once in a while,tom faz algumas coisas engracadas de vez em quando
tom felt like dancing,tom estava com vontade de dancar
im fat,sou gordo
tom didnt even open the door for me,tom nem sequer abriu a porta para mim
tom cant do this to us,tom nao pode fazer isso conosco
my father swims very well,meu pai nada muito bem
i still have your key,ainda estou com sua chave
the majority didnt accept the proposal,a maioria nao aceitou a proposta
ive never heard of such a strange story,nunca ouvi uma historia tao estranha
welcome to boston,bemvindo a boston
where do i sleep,onde eu durmo
i was too surprised to speak,eu estava surpresa demais para falar
my feet are freezing,os meus pes estao congelando
what should tom have done,o que tom deveria ter feito
i havent eaten yet,ainda nao comi
what newspaper do you read,qual jornal voces leem
president arthur wanted to reduce the tariffs,presidente arthur queria reduzir as tarifas
we should try that new restaurant downtown,precisamos experimentar aquele restaurante novo no centro da cidade
it took longer than we expected,demorou mais tempo do que esperavamos
turn off the tv,desliga a tv
his ability in mathematics is outstanding,sua habilidade em matematica e marcante
youre in grave danger,voce esta em grande perigo
tom wanted to talk with mary,tom queria falar com mary
he doesnt like oranges,ele nao gosta de laranja
i regret having said so,eu me arrependo de ter dito isso
scientists have come up with many explanations for why the sky is blue,os cientistas chegaram a muitas explicacoes sobre porque o ceu e azul
tom couldnt hear what the teacher was saying because all of the other students were making so much noise,tom nao conseguia ouvir o que a professora estava dizendo porque os outros alunos estavam fazendo muito barulho
why are you so tired today,por que voce esta tao cansado hoje
tom didnt even want to eat anything,o tom nem queria comer nada
i have a bit of a cold,peguei um resfriado
do you prefer the blue one or the red one,voces preferem o azul ou o vermelho
ive never visited kagoshima but i intend to this summer,eu nunca visitei kagoshima mas pretendo visitar este verao
tom is coming back soon,o tom esta voltando
its very cold now,esta muito frio agora
i ate breakfast by myself,tomei cafe da manha sozinha
that kind of complicates things,esse tipo que complica as coisas
i never doubted that,jamais duvidei disso
tom bought a small house in boston,tom comprou uma casinha em boston
apply sunscreen before you go outdoors,passe filtro solar antes de sair de casa
tom sharpened his knife,tom afiou a faca dele
they didnt give me a choice,elas nao me deram escolha
it may be a long time,pode demorar muito tempo
how often do you and tom hang out together,com que frequencia voce e o tom saem juntos
what are you expecting tom to do,o que voces esperam que tom faca
we decorated the christmas tree with lights,decoramos a arvore de natal com luzes
i didnt say anything wrong,eu nao falei nada de errado
tomorrow i start the diet,amanha comeco o regime
i give in,eu me rendo
youre a very patient teacher,o senhor e um professor muito paciente
tom is too young to be the boss,tom e jovem demais para ser o chefe
did you phone me,voce me telefonou
i shouldve explained it better,eu deveria ter explicado melhor
this story was originally written in french,esta historia foi originalmente escrita em frances
my son is taller than me,meu filho e mais alto que eu
tom doesnt even know i exist,tom nem sequer sabe que eu existo
you might want to go,talvez voce queira ir
we talked and talked until the day broke,nos conversamos e conversamos ate o dia raiar
tom became a judge,tom tornouse juiz
did you take these pictures in australia,as senhoras tiraram estas fotografias na australia
i dont have a meeting this afternoon,eu nao tenho reuniao essa tarde
i dont really feel like doing that anymore,nao tenho mais vontade de fazer isso
tom couldnt handle the problem,tom nao conseguia lidar com o problema
all you have to do is ask,tudo o que voce precisa fazer e pedir
tom was skiing,tom estava esquiando
can you get up,consegue se levantar
dont forget to put on sunscreen,nao esquecam de colocar o filtro solar
i planted this tree three years ago,plantei esta arvore ha tres anos
tom was a lawyer,o tom foi um advogado
god created the world in six days,deus criou o mundo em seis dias
the baby cried for milk,o bebe chorou por leite
tom has been fired,tom foi demitido
ill let you know if it happens,eu te contarei se isso acontecer
toms mother has died,a mae de tom morreu
how interesting,que interessante
we all cried,todos nos choramos
i think they were surprised,eu acho que eles ficaram surpresos
some people like summer and others like winter,algumas pessoas gostam do verao outras do inverno
im going to london this summer,eu vou para londres no verao
what is the exchange rate,qual e a taxa de cambio
whos your favorite writer,quem e seu escritor favorito
my grandmother lived with us,minha avo morava conosco
why isnt tom helping us,por que tom nao esta nos ajudando
tom caught his breath,tom recuperou o folego
i dont know who i am,eu nao sei quem sou
we were outside,nos estavamos la fora
tom doesnt seem to be a student here,tom nao parece ser um estudante aqui
theyre out of town,eles estao fora da cidade
well respond,responderemos
thanks again,obrigado novamente
tom is going to be punished for what he did,tom sera punido pelo que fez
which of the books did you think was the most interesting,qual dos livros voce achou mais interessante
i like to walk alone,eu gosto de caminhar sozinho
tom didnt want to do that but he had to,o tom nao queria fazer isso mas teve que fazer
we decorated the room ourselves,nos mesmos decoramos o quarto
hot lemon with honey is a good remedy for colds,limao quente com mel e um bom remedio para resfriados
i bought him a drink in return for his help,eu lhe paguei uma bebida em agradecimento por sua ajuda
my cat and dog get along,o meu gato e o meu cachorro convivem bem
tom said that he was studying french now,tom disse que estava estudando frances agora
bees fly from flower to flower,as abelhas voam de flor em flor
are you worried about global warming,voce esta preocupado com o aquecimento global
im sure that somebody will do it,tenho certeza de que alguem fara isso
what are we dealing with,com o que estamos lidando
was that a joke,voce nao pode estar falando serio
tom didnt seem to be discouraged,o tom nao parecia estar desanimado
get in ill give you a ride,entra eu vou te dar uma carona
its simple to use,e facil de usar
he assumed full responsibility,ele assumiu toda a responsabilidade
toms wife is hardworking,a esposa de tom e muito trabalhadora
i have a collection of sand dollars,tenho uma colecao de bolachasdapraia
what are you going to do,que vao voces fazer
believe it or not she has three children,acredite se quiser ela tem tres filhos
tom works very hard but not as hard as mary,o tom trabalha muito mas nao tanto quanto a mary
the dog is dead,o cachorro esta sem vida
she seems to know something important,ela parece saber algo importante
i wish i could break the habit of smoking,eu queria poder acabar com o vicio do fumo
tom denied the accusations,tom negou todas as acusacoes
he suggested that we go for a swim,ele propos que fossemos nadar
i want to be an artist,eu quero ser um artista
dont you understand whats happening here,tu nao entendes o que esta acontecendo aqui
dont mention this matter to tom,nao mencione isso com o tom
i left home at 230,eu sai de casa as 230
no other city in japan is as large as tokyo,nao ha outra cidade no japao maior que toquio
i think its going to rain,acho que vai chover
thats exactly what theyre doing,isso e exatamente o que eles estao fazendo
tom told me he wouldnt win,o tom avisoume que nao ia ganhar
what can you give me,o que voce pode me dar
my life would have been completely empty without you,minha vida teria sido completamente vazia sem voce
mary kicked me out of the kitchen,maria me expulsou da cozinha
i heard tom and mary speaking in french,ouvi tom e mary falando em frances
we walked a lot,nos andamos muito
what do you think of when you look at this photo,no que voce pensa quando olha para esta foto
i knew where to search,eu sabia onde procurar
i think we should continue this conversation outside,eu acho que a gente deveria continuar esta conversa la fora
tom has a daughter whos very beautiful,tom tem uma filha muito bonita
i honestly think its better to be a failure at something you love than to be a success at something you hate,eu honestamente acho que e melhor ser um fracasso em algo que voce ama do que ser um sucesso em algo que voce odeia
shed rather be spending time with someone else,ela preferiria estar passando o tempo com outro alguem
theyre only trying to help,eles estao apenas tentando ajudar
they are looking for chairs to sit on,eles estao procurando cadeiras para se sentarem
i was so homesick,eu estava com tanta saudade de casa
were not very far from where it happened,nos nao estamos muito longe de onde aconteceu
im sorry to be calling you so late at night,lamento te ligar tao tarde da noite
we should hold some of food in reserve,nos deveriamos preservar um pouco de comida
lucky werent they,sortudos nao
its not really food,nao e realmente comida
tom missed the last train and spent the night at an internet cafe,tom perdeu o ultimo trem e passou a noite em um cibercafe
everything was normal,tudo estava normal
i took shelter under a tree,procurei abrigo sob uma arvore
wheres your boyfriend,onde esta seu namorado
what do you think ive been doing,o que e que tu imaginas que eu estivesse a fazer
are you picking me up at 7 tomorrow morning,voce vai me buscar as 7 amanha de manha
do you remember the night you were attacked,voce se lembra da noite em que foi atacado
are you capable of that,voce e capaz disso
tom wants immediate results,tom quer resultados imediatos
tom wants to keep mary on his good side,tom quer se manter querido por mary
tom was fast asleep,tom dormia profundamente
he receives a high salary,ele recebe um alto salario
this airplane is capable of carrying 40 passengers at a time,este aviao e capaz de transportar quarenta pessoas por vez
tom seemed to be worried about me,tom parecia estar preocupado comigo
i didnt see what happened to tom,eu nao vi o que aconteceu com tom
your french is very good,seu frances e muito bom
he left without saying goodbye,ele foi embora sem dizer adeus
ask tom if mary can swim,pergunta pro tom se a mary sabe nadar
stop squabbling,parem de brigar
may i kiss you,posso te beijar
theres something wrong with the printer,tem alguma coisa errada com a impressora
why do you like sports so much,por que voce gosta tanto de esportes
i just try not to think about it,eu so tento nao pensar sobre isso
i thought tom was still in jail,pensava que o tom estava na cadeia
tom cant go in,tom nao pode entrar
the committee approved the addition,o comite aprovou a adicao
tom never said he would help us,tom nunca disse que iria nos ajudar
it didnt even cross my mind,isso nem passou por minha cabeca
someone asked about texas,alguem indagou sobre o texas
i was outside,eu estava la fora
can i sit with you,posso me sentar com voce
who knows what it was,quem sabe o que era
tom wanted to live alone,o tom queria morar sozinho
werent you in australia last year,voces nao estiveram na australia no ano passado
im sure that ill win that tennis match,tenho certeza que vencerei a partida de tenis
tom wants us dead,o tom nos quer mortos
whats that,o que que e aquilo
who cut the cake,quem cortou o bolo
you need supervision,voce precisa de supervisao
hes a foreign exchange student,ele e um estudante estrangeiro em intercambio
the teacher made fun of tom,a professora zombou de tom
im too tired to walk,estou cansado demais para andar
i dont need your help today,nao preciso da sua ajuda hoje
tom doesnt like me much,tom nao gosta muito de mim
get her out of here,tirea daqui
theres no freedom of religion in this country,nao ha liberdade de religiao neste pais
i dont think that they need me,nao acho que precisam de mim
will you please check these figures,quer conferir esses numeros por favor
tom and i can both speak french,tom e eu podemos falar frances
nice shot,belo tiro
i dont want you to tell me what i already know,nao quero que voce me diga o que eu ja sei
tie your shoelaces,aperta os atacadores
i dont like broccoli but tom does,nao gosto de brocolis mas o tom gosta
tom can speak french,tom pode falar frances
tom doesnt know why it happened,tom nao sabe por que aconteceu
dont ever leave me alone with tom,nunca mais me deixe sozinho com o tom
where do you see yourself in three years,onde voce se ve daqui a tres anos
have you ever thought of becoming a nurse,voce ja pensou em virar enfermeira
tom is a french teacher,o tom e professor de frances
she is likely to come,ela provavelmente vira
he hasnt said a word,ele nao disse uma so palavra
i recognized toms voice,eu reconheci a voz do tom
all the players were in position,todos os jogadores estavam em posicao
i hate to run the risk but i have no choice,eu odeio correr o risco mas nao tenho escolha
dont be so critical,nao seja tao critico
it was too difficult,isso foi dificil demais
toms strange,o tom e estranho
tom is no longer in boston,tom nao esta mais em boston
your dreams have come true,seus sonhos tornaramse realidade
tom often lies to mary,o tom costuma mentir para mary
you hypocrite,sua hipocrita
you need to help me,voce precisa me ajudar
i know that we can help each other,eu sei que podemos nos ajudar
if you intend to win you should do your best,se voce pretende vencer voce deveria fazer o seu melhor
ghosts exist,fantasmas existem
tom and mary are now divorced,tom e maria estao separados agora
i dont want to hurt you,nao tenciono magoalas
tom works in a sawmill,tom trabalha em uma serraria
why didnt you leave tom a message,por que voce nao deixou uma mensagem para tom
he went to london via paris,ele foi a londres via paris
i was born in boston in 2013,nasci em boston em 2013
i want to talk to you about last night,eu quero falar contigo sobre o que aconteceu ontem a noite
what brings you here,o que as traz aqui
why dont you like tom,por que voces nao gostam de tom
many people love horses,muitas pessoas adoram cavalos
we cant stop it,nao podemos paralo
chicken tuna and soybeans are good sources of protein,frango atum e soja sao boas fontes de proteina
tom wants to go to the beach with us,tom quer ir a praia conosco
the train was on the point of leaving when i got to the station,o trem estava para partir quando cheguei a estacao
i have nothing,eu nao tenho nada
tom wants to study abroad,tom quer estudar no exterior
those arent mine,esses nao sao meus
no ones ever told me that before,ninguem nunca me disse isso antes
tom still has the book i lent him,tom ainda esta com o livro que eu lhe emprestei
tom should tell mary not to do that anymore,o tomas deveria dizer a maria para nao fazer isso mais
i dont know where everyone is,eu nao sei onde esta todo mundo
im baking a cake for toms birthday,estou fazendo um bolo para o aniversario do tom
tom is playing the violin,tom esta tocando violino
tom isnt going to like that,tom nao vai gostar disso
my job is to take care of the baby,meu trabalho e cuidar do bebe
chat with your friends,conversem com os seus amigos
my baby kicks very hard,meu bebe chuta bem forte
tom is eating cake,o tom esta comendo bolo
tom isnt a good actor,tom nao e um bom ator
botany is the scientific study of plants,botanica e o estudo cientifico das plantas
we made a banner,nos fizemos um banner
ive seen you doing that,eu te vi a fazer isso
do you like cheese,voces gostam de queijo
how do you say love in french,como voce diz amor em frances
there is no cure for lovesickness,nao ha cura para dor de cotovelo
weve already begun,nos ja comecamos
i would greatly appreciate your help,eu seria extremamente grato pela sua ajuda
you promised youd do that before you went home,voce prometeu que faria isso antes de ir para casa
tom saved our lives,tom salvou nossas vidas
tom is writing a book about his father,o tom esta escrevendo um livro sobre o pai dele
i dont have enough money to buy everything i want,eu nao tenho dinheiro o suficiente para comprar tudo o que quero
the children all ran outside,as criancas correram todas para fora
i just wanted to hear your voice,eu so queria ouvir a sua voz
i want to ride a motorcycle,eu quero guiar uma motocicleta
she is very afraid of the dark,ela tem muito medo do escuro
youre prisoners,voces sao prisioneiros
tom pays about 25 of his income in taxes,tom paga cerca de 25 de sua renda em impostos
i dont have time to explain it now,nao tenho tempo para explicar isso agora
im going to wait,vou esperar
i saved your life,salvei sua vida
i have some time left,ainda disponho de algum tempo
both tom and i agreed,tom e eu concordamos
tom cant go to the concert with you tonight,tom nao pode ir ao concerto contigo esta noite
i came by car,eu vim de carro
the catholic church is opposed to divorce,a igreja catolica se opoe ao divorcio
no two words are identical in meaning,nao existem duas palavras que sao identicas em significado
i cant bear this pain,eu nao consigo suportar essa dor
tom might have to speak french,tom pode ter que falar em frances
theres no safe and effective treatment,nao existe tratamento seguro e eficaz
i couldnt find my way out,nao consegui encontrar a saida
have you already forgotten me,tu ja me esqueceste
you may give this photograph to anyone who wants it,voce pode dar esta fotografia para quem quiser
he took his wallet out of his pocket,ele tirou a carteira do bolso
i just got up,eu me levantei nesse exato momento
please turn on the radio,por favor ligue o radio
i wish that was true,eu gostaria que fosse verdade
my cat is white,o meu gato e branco
i dont know where youre from and neither does he,eu nao sei de onde voce e e ele tambem nao
would you play with me,voce quer brincar comigo
tom said that he wasnt going to help us,o tom disse que ele nao ia nos ajudar
tom challenged mary,tom desafiou maria
i dont speak japanese,nao falo japones
my stomach is full,meu estomago esta cheio
i dont know whats going to happen,eu nao sei o que acontecera
its too easy,e facil demais
i like not only classical music but also jazz,gosto nao so de musica classica mas tambem de jazz
toms parents were very strict,os pais de tom eram muito rigidos
this is what tom wants,e isso o que o tom quer
teachers also make mistakes,os professores tambem cometem erros
dont break the branches,nao quebrem os ramos
ive burnt the toast,queimei a torrada
we agree,nos concordamos
they will be safe with me,eles estarao seguros comigo
thats a famous mountain,esta e uma montanha famosa
tom went downtown this afternoon,tom foi a cidade hoje a tarde
isnt that enough,isso nao e o bastante
tom worked in the warehouse,tom trabalhou no armazem
im in bed,estou na cama
i have absolutely no idea what tom is doing,eu nao faco a minima ideia do que tom esta fazendo
ill teach you how to play chess,eu vou ensinalo a jogar xadrez
stop the train,parem o trem
i want to see boston,quero ver boston
tom knows you,o tom o conhece
i sincerely hope that you will soon recover from your illness,espero sinceramente que em breve voce vai se recuperar de sua doenca
do you still want me to help tom,voces ainda querem que eu ajude o tom
tom is very angry with mary,tom esta muito bravo com maria
tom will be getting home soon,tom vai chegar em casa em breve
youve set a bad example,voce deu um mau exemplo
tom isnt a drug addict,tom nao e um viciado em drogas
im starting to feel really uncomfortable here,estou comecando a me sentir muito desconfortavel aqui
a drunk man fell down the stairs,um bebado caiu pelas escadas
i cant give you the answer today,nao posso te dar a resposta hoje
she sang pretty well,ela cantou muito bem
he keeps making the same mistake,ele continua cometendo o mesmo erro
do you know what kind of flower this is,voce sabe que tipo de flor e este
open the windows,abra as janelas
this time you went too far,desta vez voce passou dos limites
you want me to do your dirty work for you dont you,voce quer que eu faca seu trabalho sujo nao quer
ill buy you a new umbrella,vou comprar um guardachuva novo para voce
ive known her for more than twenty years,eu conheco ela ha mais de vinte anos
theres no entertainment for young people around here,nao ha lazer para os jovens nas redondezas
i wanted to contribute,eu queria cooperar
he was happy being a jew,ele era feliz sendo judeu
he cant have said such a stupid thing,nao e possivel que ele tenha dito tal idiotice
this is totally unacceptable,isso e totalmente inaceitavel
i teach english to the second year classes,eu ensino ingles para o segundo ano
i will be glad to help you anytime,ficarei feliz em te ajudar a qualquer hora
if you are free come around to see me,se estiver livre venha me ver
i go to church by car,vou a igreja de carro
tom and mary both smiled,tanto tom quanto mary sorriram
we swam in the lake,nos nadamos no lago
please set the table,por favor ponha a mesa
when is it ok to tell lies,quando esta bem contar mentiras
tom was afraid mary wouldnt believe him,tom estava com medo de que mary nao acreditaria nele
we have no idea where tom is,nos nao temos ideia de onde o tom esta
i hope youre having fun,espero que voce esteja se divertindo
i saw some bodies,eu vi alguns corpos
this flower smells nice,essa flor tem um cheiro gostoso
im not guilty,eu nao sou culpada
i want you to meet my cousin,quero que conhecam minha prima
this is an excellent strategy,essa e uma excelente estrategia
tom threw marys phone into the pool,tom jogou o celular da maria na piscina
music is a language understood by all humans,a musica e uma lingua entendida por todos os humanos
the plane made a perfect landing,o aviao fez uma aterrissagem perfeita
do they always keep the dog tied to the gate,sempre deixam o cachorro amarrado ao portao
the bathtub is dirty,a banheira esta suja
the prices are high,os precos estao altos
tom eats rice almost every day,tom come arroz quase todos os dias
do you guys want to read what i wrote,voces querem ler o que escrevi pessoal
i moved here yesterday,eu me mudei para ca ontem
did you spend christmas with tom,voces passaram o natal com o tom
who ate up the cake,quem comeu o bolo
everybodys crying,todos estao gritando
tom said that he didnt know french,tom disse que nao sabia frances
i like that dog,eu gosto daquele cachorro
take off your jacket,tire a jaqueta
tom didnt agree with me,tom nao concordou comigo
tom is visiting australia,o tom esta visitando a australia
im tired of your comments,eu estou cansado dos seus comentarios
she refreshed her memory with the photo,ela refrescou a memoria com a foto
i shave every morning,eu faco a barba todas as manhas
i expected better of him,eu esperava mais dele
while youre at the supermarket could you buy some eggs for me,enquanto voce esta no supermercado voce poderia comprar alguns ovos para mim
everything is better without you,tudo e melhor sem voce
this paper is rough,este papel e aspero
nobody likes losing,ninguem gosta de perder
i think youre wasting your time,eu acho que voce esta perdendo o seu tempo
i passed the information on to him,eu passei a informacao para ele
i went to that party by myself,eu fui aquela festa sozinha
how can i start the engine,como posso dar partida no motor
maybe youd like to help,talvez voce fosse gostar de ajudar
tom crossed his fingers,tom cruzou os dedos
tom has a house with two rooms,tom tem uma casa de dois quartos
tom was attacked by a dog,tom foi atacado por um cachorro
the taxi picked up two passengers,o taxi pegou dois passageiros
im going to stay here with tom,eu vou ficar aqui com o tom
be fair,sejam justas
toms body will be cremated,o corpo de tom sera cremado
no one loves me,ninguem me ama
i think youve made the wrong choice,eu acho que voce fez a escolha errada
its on the first floor of that building,fica no primeiro andar daquele edificio
i even wrote a speech just in case i was asked to give one,eu ate escrevi um discurso caso me pedissem para discursar
we sat in the back of the bus,nos sentamos no fundo do onibus
our future is at stake,nosso futuro esta em jogo
are you still sick,voce ainda esta doente
ill be back in a while,estarei de volta num instante
tom didnt try to hide the truth,tom nao tentou esconder a verdade
i wanted to speak to tom alone,eu queria falar com tom sozinho
youre going with me arent you,voce vai comigo nao vai
id rather have the more expensive one,eu prefiro o mais caro
tom is coming here to help us isnt he,o tom vem ajudar a gente nao e
tom has been here more than once,o tom esteve aqui mais de uma vez
tom doesnt like children,tom nao gosta de criancas
i knew that you wouldnt be afraid,eu sabia que voce nao ficaria assustado
tom did a lot of stupid things when he was young,tom fez muitas burradas quando ele era jovem
my dad inspired me,meu pai me inspirou
were friends of toms,nos somos amigos do tom
ive always been impressed by how well you speak french,eu sempre fiquei impressionado com o quao bem voce fala frances
lightning struck toms house,um raio atingiu a casa de tom
why dont you shut your mouth,por que nao cala a boca
i have no money to buy the dictionary,nao tenho dinheiro para comprar o dicionario
stop being so emotional,pare de ser tao emotivo
where were you on october 20th at 230 in the afternoon,onde voce estava no dia 20 de outubro as 230 da tarde
what choice do i have,que escolha eu tenho
we just need a little more time,so precisamos de um pouco mais de tempo
its weird,e bizarro
why didnt tom win today,por que tom nao venceu hoje
i was surprised when tom said he was planning to go to australia,eu fiquei surpreso quando tom disse que estava planejando ir para a australia
i traveled by myself,viajei sozinho
what are you laughing at,do que voce esta rindo
i know toms sister,eu conheco a irma de tom
i got an email yesterday that was written in french,ontem recebi um email redigido em frances
stop squabbling,pare de brigar
the days are getting warmer and warmer,os dias estao ficando cada vez mais quentes
you dont like living with your parents do you,voce nao gosta de morar com seus pais gosta
i think this is a bad idea,eu acho que esta e uma ma ideia
tom didnt recognize mary,tom nao reconheceu maria
he never fails to write home once a month,ele sempre escreve para casa uma vez por mes
im feeling so much better now,sintome muito melhor agora
he was absent from the meeting,ele nao estava na reuniao
tom doesnt need to worry about that,tom nao precisa se preocupar com isso
you made me look like a fool,voce me fez parecer um bobo
tell tom which umbrella is yours,diga a tom qual e a sua sombrinha
i hope that shell get well soon,espero que ela melhore logo
you might meet tom,voce pode conhecer o tom
i think that that was the problem,eu acho que esse era o problema
you obviously dont live here,obviamente voce nao mora aqui
is it safe in there,la esta seguro
he never loses his head,ele nunca perde a cabeca
i like cats,eu gosto de gatos
what is it you want tom,o que e isso que voce quer tom
have you ever used a gun before,voce ja usou uma arma antes
it needs to be perfectly symmetrical,tem que ser perfeitamente simetrico
i like my job,gosto do meu trabalho
im not working with tom anymore,eu nao estou trabalhando mais com o tom
as soon as she got on the train it pulled out of the station,assim que ela entrou no trem ele saiu da estacao
i want to check it out,eu quero checar isso
please paint the door white,por favor pinte a porta de branco
tom is in there,tom esta la
i heard that a week ago,eu ouvi isso uma semana atras
try to recall what happened,tente recordar o que aconteceu
the only flavor ice cream that tom eats is vanilla,o unico sabor de sorvete que o tom toma e baunilha
i pretended i didnt care,eu fingi que nao me importei
i dont understand german at all,nao entendo absolutamente nada de alemao
where are you from,voce vem de onde
i dont expect them to win,eu nao espero que eles vencam
tom seldom asks questions,tom raramente faz perguntas
he talked about her illness,ele falou sobre sua doenca
i took a walk,eu dei uma caminhada
the police officer fired a warning shot,o policial deu um tiro de aviso
tom came into my room,tom entrou na minha sala
i thought that you said that you wanted to do that for tom,pensei que voce disse que queria fazer isso pelo tom
we are very grateful for what you did,estamos muito gratos pelo que voce fez
we saw her dance,nos a vimos dancar
youve won,voces venceram
did you like that,gostou
america is not the most democratic nation,estados unidos da america nao e a nacao mais democratica
it doesnt matter so much,isso nao importa muito
its a difficult word to translate,e uma palavra de dificil traducao
im very sick,estou muito mal
ill be there at 230 ok,eu estarei la as 230 ok
here are a few reasons,eis aqui algumas razoes
let me help you,deixeme ajudala
please take this seat,por favor sentese aqui
lets see what tonight will bring,vejamos o que trara esta noite
tom used to be claustrophobic,o tom costumava ser claustrofobico
